Week,CV,Simulated
GV3101_OD_experiment,0.369755055,"32 weeks, real data"
GV3101_OD_experiment,0.639946631,"32 weeks, real data"
GV3101_OD_experiment,0.316959177,"32 weeks, real data"
GV3101_OD_experiment,0.242084862,"32 weeks, real data"
GV3101_OD_experiment,0.30100903,"32 weeks, real data"
GV3101_OD_experiment,0.189949199,"32 weeks, real data"
GV3101_OD_experiment,0.264075006,"32 weeks, real data"
GV3101_OD_experiment,0.261885131,"32 weeks, real data"
GV3101_OD_experiment,0.269815581,"32 weeks, real data"
GV3101_OD_experiment,0.475143316,"32 weeks, real data"
GV3101_OD_experiment,0.279282573,"32 weeks, real data"
GV3101_OD_experiment,0.320933463,"32 weeks, real data"
GV3101_OD_experiment,0.404633191,"32 weeks, real data"
GV3101_OD_experiment,0.345203512,"32 weeks, real data"
GV3101_OD_experiment,0.177133042,"32 weeks, real data"
GV3101_OD_experiment,0.191154377,"32 weeks, real data"
GV3101_OD_experiment,0.247581857,"32 weeks, real data"
GV3101_OD_experiment,0.261407352,"32 weeks, real data"
GV3101_OD_experiment,0.401104015,"32 weeks, real data"
GV3101_OD_experiment,0.259741735,"32 weeks, real data"
RK2_Strain_comp,0.242929297,"32 weeks, real data"
RK2_Strain_comp,0.295843929,"32 weeks, real data"
RK2_Strain_comp,0.223677345,"32 weeks, real data"
RK2_Strain_comp,0.301723269,"32 weeks, real data"
RK2_Strain_comp,0.225592785,"32 weeks, real data"
RK2_Strain_comp,0.189201599,"32 weeks, real data"
RK2_Strain_comp,0.323722096,"32 weeks, real data"
RK2_Strain_comp,0.359735717,"32 weeks, real data"
RK2_Strain_comp,0.410364033,"32 weeks, real data"
RK2_Strain_comp,0.183057548,"32 weeks, real data"
RK2_Strain_comp,0.395636924,"32 weeks, real data"
RK2_Strain_comp,0.214401553,"32 weeks, real data"
RK2_Strain_comp,0.084392344,"32 weeks, real data"
RK2_Strain_comp,0.31112322,"32 weeks, real data"
RK2_Strain_comp,0.411584488,"32 weeks, real data"
RK2_Strain_comp,0.229953041,"32 weeks, real data"
RK2_Strain_comp,0.233508365,"32 weeks, real data"
RK2_Strain_comp,0.348477415,"32 weeks, real data"
RK2_Strain_comp,0.206816788,"32 weeks, real data"
RK2_Strain_comp,0.335070347,"32 weeks, real data"
RK2_Strain_comp,0.189244473,"32 weeks, real data"
RK2_Strain_comp,0.112389396,"32 weeks, real data"
RK2_Strain_comp,0.514531337,"32 weeks, real data"
RK2_Strain_comp,0.13525144,"32 weeks, real data"
RK2_Strain_comp,0.224141716,"32 weeks, real data"
RK2_Strain_comp,0.507387672,"32 weeks, real data"
RK2_Strain_comp,0.245960106,"32 weeks, real data"
RK2_Strain_comp,0.267133583,"32 weeks, real data"
RK2_Strain_comp,0.219001105,"32 weeks, real data"
RK2_Strain_comp,0.320272233,"32 weeks, real data"
RK2_Strain_comp,0.167697695,"32 weeks, real data"
RK2_Strain_comp,0.110963925,"32 weeks, real data"
RK2_Strain_comp,0.334987868,"32 weeks, real data"
RK2_Strain_comp,0.367511937,"32 weeks, real data"
RK2_Strain_comp,0.154009804,"32 weeks, real data"
RK2_Strain_comp,0.372548456,"32 weeks, real data"
RK2_Strain_comp,0.335528209,"32 weeks, real data"
Sophia_prom_opt_241111,0.341389128,"32 weeks, real data"
Sophia_prom_opt_241111,0.297287199,"32 weeks, real data"
Sophia_prom_opt_241111,0.132808093,"32 weeks, real data"
Sophia_prom_opt_241111,0.154575284,"32 weeks, real data"
Sophia_prom_opt_241111,0.163187159,"32 weeks, real data"
Sophia_prom_opt_241111,0.122055884,"32 weeks, real data"
Sophia_prom_opt_241111,0.196674161,"32 weeks, real data"
Sophia_prom_opt_241111,0.089541063,"32 weeks, real data"
Sophia_prom_opt_241111,0.094797111,"32 weeks, real data"
Sophia_prom_opt_241111,0.101107851,"32 weeks, real data"
Sophia_prom_opt_241111,0.09259361,"32 weeks, real data"
Sophia_prom_opt_241111,0.25162389,"32 weeks, real data"
Sophia_prom_opt_241111,0.192266775,"32 weeks, real data"
Sophia_prom_opt_241111,0.182367007,"32 weeks, real data"
Sophia_prom_opt_241111,0.126097106,"32 weeks, real data"
Sophia_prom_opt_241111,0.19441119,"32 weeks, real data"
Sophia_prom_opt_241111,0.121798955,"32 weeks, real data"
Sophia_prom_opt_241111,0.116440666,"32 weeks, real data"
Sophia_prom_opt_241111,0.269562179,"32 weeks, real data"
Sophia_prom_opt_241111,0.116947512,"32 weeks, real data"
Sophia_prom_opt_241111,0.183870864,"32 weeks, real data"
Sophia_prom_opt_241111,0.218588501,"32 weeks, real data"
Sophia_prom_opt_241111,0.169964632,"32 weeks, real data"
Sophia_prom_opt_241111,0.07497373,"32 weeks, real data"
Sophia_prom_opt_241111,0.10726905,"32 weeks, real data"
Sophia_prom_opt_241111,0.231665941,"32 weeks, real data"
Sophia_prom_opt_241111,0.189968916,"32 weeks, real data"
Sophia_prom_opt_241111,0.145046783,"32 weeks, real data"
Sophia_prom_opt_241111,0.102073613,"32 weeks, real data"
Sophia_prom_opt_241111,0.651272097,"32 weeks, real data"
Sophia_prom_opt_241111,0.199037741,"32 weeks, real data"
